x_m,y_m
-1.334080166137827095e-02,4.025645413608881784e-02
-9.830064382068195994e-03,3.674571685677874289e-02
-7.957671166436156018e-03,3.323497957746866793e-02
-7.489572862528146024e-03,2.972424229815860686e-02
-7.255523710574141028e-03,2.621350501884853190e-02
-7.255523710574141028e-03,2.270276773953845695e-02
-6.319327102758121040e-03,1.919203046022838199e-02
-7.021474558620136031e-03,1.568129318091832092e-02
-9.596015230114190997e-03,1.240460505356225096e-02
-1.240460505356225096e-02,9.127916926206181003e-03
-1.521319487701029705e-02,5.617179646896119927e-03
-1.825583385241236201e-02,2.106442367586058850e-03
-2.176657113172242308e-02,4.680983039080099939e-04
-2.527730841103251191e-02,2.340491519540188747e-04
-2.878804569034257299e-02,2.340491519540188747e-04
-3.229878296965263407e-02,0.000000000000000000e+00
-3.580952024896272290e-02,0.000000000000000000e+00
-3.932025752827278398e-02,0.000000000000000000e+00
-4.283099480758285893e-02,0.000000000000000000e+00
-4.634173208689293388e-02,0.000000000000000000e+00
-4.985246936620299496e-02,0.000000000000000000e+00
-5.336320664551306991e-02,0.000000000000000000e+00
-5.687394392482313099e-02,0.000000000000000000e+00
-6.038468120413320595e-02,0.000000000000000000e+00
-6.389541848344328090e-02,0.000000000000000000e+00
-6.740615576275335585e-02,2.340491519540188747e-04
-7.091689304206341693e-02,2.574540671494068844e-03
-7.442763032137349188e-02,6.085277950804129921e-03
-7.466167947332749688e-02,9.596015230114190997e-03
-7.442763032137349188e-02,1.310675250942426595e-02
-7.419358116941948689e-02,1.661748978873434091e-02
-7.419358116941948689e-02,2.012822706804440198e-02
-7.395953201746548189e-02,2.363896434735447694e-02
-7.325738456160346690e-02,2.714970162666455189e-02
-7.325738456160346690e-02,3.066043890597461297e-02
-7.349143371355747190e-02,3.417117618528468792e-02
-7.349143371355747190e-02,3.768191346459476287e-02
-7.325738456160346690e-02,4.119265074390482395e-02
-7.302333540964946190e-02,4.470338802321489891e-02
-7.278928625769545691e-02,4.821412530252497386e-02
-7.302333540964946190e-02,5.172486258183503494e-02
-7.302333540964946190e-02,5.523559986114510989e-02
-7.302333540964946190e-02,5.874633714045518484e-02
-7.302333540964946190e-02,6.225707441976525980e-02
-7.302333540964946190e-02,6.576781169907532087e-02
-7.630002353700553186e-02,6.881045067447738584e-02
-7.981076081631559294e-02,6.974664728229340582e-02
-8.332149809562566789e-02,6.974664728229340582e-02
-8.683223537493574284e-02,6.974664728229340582e-02
-9.034297265424580392e-02,6.974664728229340582e-02
-9.385370993355587887e-02,6.974664728229340582e-02
-9.736444721286595383e-02,6.881045067447738584e-02
-1.006411353402220099e-01,6.600186085102932587e-02
-1.041518726195320849e-01,6.319327102758126591e-02
-1.060242658351641248e-01,6.015063205217921483e-02
-1.057902166832101198e-01,5.663989477286913987e-02
-1.060242658351641248e-01,5.312915749355906492e-02
-1.062583149871181298e-01,4.961842021424900384e-02
-1.062583149871181298e-01,4.610768293493892889e-02
-1.062583149871181298e-01,4.259694565562885393e-02
-1.062583149871181298e-01,3.908620837631879286e-02
-1.067264132910261398e-01,3.557547109700871790e-02
-1.069604624429801448e-01,3.206473381769864295e-02
-1.071945115949341498e-01,2.855399653838858187e-02
-1.071945115949341498e-01,2.504325925907850692e-02
-1.071945115949341498e-01,2.153252197976843196e-02
-1.071945115949341498e-01,1.802178470045837089e-02
-1.076626098988421598e-01,1.451104742114829593e-02
-1.081307082027501698e-01,1.100031014183822098e-02
-1.081307082027501698e-01,7.489572862528159902e-03
-1.095350031144741998e-01,3.978835583218071070e-03
-1.111733471781522209e-01,2.574540671494068844e-03
